item,id_netux,criterio_calificacion,nombre_equipo,estado_informe,codigo_certificado,marca,serie,descripcion,iq,oq,pq,cal,centro_costo,area,ubicacion_fisica,proveedor,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fecha,dias_vigencia_certificado,torre,pendientes,p_iq,p_oq,p_pq,p_cal,precio_unitario
,,,Tallímetro,,003,Seca,TIP10-1,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.03,FCI,,,,,,,X,,,,,,2024-07-22,-11,Torre I,Pendiente,0,0.0,0.0,0.0,62832
(2000gr),,,Masas,,MG5405−24,-,MF1-07,Calibración metrologica,,,,CAL,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,X,,,,,,,,2024-05-24,-70,Torre A,Pendiente,0,0.0,0.0,0.0,116160
,,,Tallímetro,,004,Pared,TIP10-2,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.05,FCI,,,,,,,X,,,,,,2024-07-22,-11,Torre I,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,005,Madera,TIP10-7,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.08,FCI,,,,,,,X,,,,,,2024-07-22,-11,Torre I,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,006,Pared,TIP10-6,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.13,FCI,,,,,,,X,,,,,,2024-07-22,-11,Torre I,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,008,Seca,TIP10-5,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.18,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre I,Pendiente,0,0.0,0.0,0.0,62832
,,,AMBIENTE FARMACIA CX CV BOGOTÁ,,C-23498,nxsensor-1.3,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-28,-248,,Pendiente,0,0.0,0.0,0.0,
(2000gr),,,Masas,,MG5305−24,-,MF1-06,Calibración metrologica,,,,CAL,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,X,,,,,,,,2024-05-24,-70,Torre A,Pendiente,0,0.0,0.0,0.0,116160
(500 mg),,,Masas,,MG8406-24,-,MF1-01,Calibración metrologica,,,,CAL,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,,X,,,,,,,2024-06-24,-39,Torre A,Pendiente,0,0.0,0.0,0.0,116160
RECEPCIÓN OK ,,,Báscula (250 kg),,CC 419833,Seca,5876256143304,Calibración metrologica,,,,CAL,1100.0,Hospitalización Torre D,TDP2 ,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre D,Realizado,0,0.0,0.0,0.0,162600
"0,25 kg ",,,Báscula (150 kg),,CC 402812,Health O Meter,18708,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.15,Celsius,,,,,X,,,,,,,,2024-05-08,-86,Torre I,Pendiente,0,0.0,0.0,0.0,80296
-3 kg,,,Báscula (150 kg),,CC 402804,Health O Meter,1600000511,Calibración metrologica,,,,CAL,7404.0,Consulta externa,Torre I piso 4 C.402,Celsius,,,,,X,,,,,,,,2024-05-08,-86,Torre I,Pendiente,0,0.0,0.0,0.0,80296
"0,3 kg - CRN",,,Báscula (150 kg),,CC 402803,Seca,8813125150794,Calibración metrologica,,,,CAL,7404.0,Consulta externa,Torre I piso 4 C.414,Celsius,,,,,X,,,,,,,,2024-05-08,-86,Torre I,Pendiente,0,0.0,0.0,0.0,80296
"-0,55 kg",,,Báscula (150 kg),,CC 402811,Health O Meter,454750,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.02,Celsius,,,,,X,,,,,,,,2024-05-08,-86,Torre I,Pendiente,0,0.0,0.0,0.0,80296
Digital,,,Manómetro diferencial de presión ,,LP240081,Dwyer,TPD-04 / 06YMKJ,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Ingreso exclusa BLS-3,Celsius,,,X,,,,,,,,,,2024-03-01,-154,Torre H,Pendiente,0,0.0,0.0,0.0,405725
Digital,,,Manómetro diferencial de presión ,,LP240082,Dwyer,TPD-01 / 061Y23,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Ingreso desembalaje,Celsius,,,X,,,,,,,,,,2024-03-01,-154,Torre H,Pendiente,0,0.0,0.0,0.0,405725
"-0,1 kg",,,Báscula (150 kg),,CC 402361,Health O Meter,4020052395,Calibración metrologica,,,,CAL,3800.0,Unidad de la Mujer,Unidad de la Mujer,Celsius,,,,,X,,,,,,,,2024-05-10,-84,Torre D,Pendiente,0,0.0,0.0,0.0,80296
"(-0,10)",,,Báscula (250 kg),,CC 417420,Seca,5876256143296,Calibración metrologica,,,,CAL,7406.0,Consulta externa,Torre I Piso 6  C.605,Celsius,,,,,,,,X,,,,,2024-08-08,6,Torre I,Realizado,0,0.0,0.0,0.0,162600
,,,Tallímetro,,009,Seca,16104,Calibración metrologica,,,,CAL,7412.0,Consulta externa,Torre I piso 12 C.1201,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre I,Pendiente,0,0.0,0.0,0.0,62832
,,,Báscula (250 kg),,CC 408807,Seca,10000000705337,Calibración metrologica,,,,CAL,1400.0,Hemodinamia,Multipropósito ,Celsius,,,,,,X,,,,,,,2024-06-22,-41,Torre A,Pendiente,0,0.0,0.0,0.0,162600
SIN FF - CARGAR,,,Báscula (250 kg),,CC 408042,Seca,5876023153520,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos, TAP4,Celsius,,,,,,X,,,,,,,2024-06-17,-46,Torre A,Pendiente,0,0.0,0.0,0.0,162600
Digital,,,Manómetro diferencial de presión ,,LP240083,Dwyer,TPD-02 / 06YMK2,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Ingreso área inactivación,Celsius,,,X,,,,,,,,,,2024-03-01,-154,Torre H,Pendiente,0,0.0,0.0,0.0,405725
,,,Tallímetro,,010,Chorder,C23025339,Calibración metrologica,,,,CAL,7412.0,Consulta externa,Torre I piso 12 C.1202,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre I,Pendiente,0,0.0,0.0,0.0,62832
,,,Báscula (250 kg),,CC 408041,Seca,5876102177847,Calibración metrologica,,,,CAL,7408.0,Banco de Sangre,Banco de Sangre,Celsius,,,,,,X,,,,,,,2024-06-17,-46,Torre I,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CC 408040,Seca,5876023153442,Calibración metrologica,,,,CAL,7408.0,Consulta externa,Torre I piso 8 C.809,Celsius,,,,,,X,,,,,,,2024-06-17,-46,Torre I,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CMA-24-27319-S,ADE,52833-1035936-00070,Calibración metrologica,,,,CAL,2000.0,Urgencias Adultos,Urgencias Adultos,Celsius,,,,,,,X,,,,,,2024-04-15,-109,Torre A,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CMA-24-27320-S,ADE,52833-1035936-00071,Calibración metrologica,,,,CAL,2000.0,Urgencias Adultos,Urgencias Adultos,Celsius,,,,,,,X,,,,,,2024-04-15,-109,Torre A,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CMA-24-27321-S,ADE,52833-1035936-00206,Calibración metrologica,,,,CAL,2000.0,Urgencias Adultos,Urgencias Adultos,Celsius,,,,,,,X,,,,,,2024-04-15,-109,Torre A,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CMA-24-27322-S,ADE,52833-1035936-00275,Calibración metrologica,,,,CAL,2000.0,Urgencias Adultos,Urgencias Adultos,Celsius,,,,,,,X,,,,,,2024-04-15,-109,Torre A,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CMA-24-27325-S,ADE,52833-1033961-00056,Calibración metrologica,,,,CAL,3800.0,Unidad de la mujer ,Unidad de la mujer,Celsius,,,,,,,X,,,,,,2024-04-29,-95,Torre A,Pendiente,0,0.0,0.0,0.0,162601
,,,Báscula (250 kg),,CMA-24-27323-S,ADE,52833-1035936-00421,Calibración metrologica,,,,CAL,2000.0,Urgencias Adultos,Urgencias Adultos,Celsius,,,,,,,X,,,,,,2024-04-15,-109,Torre A,Pendiente,0,0.0,0.0,0.0,162600
,,,AMBIENTE FARMACIA HEMODINÁMIA BOGOTÁ,,C-23494,nxsensor-lite1.0,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-28,-248,,Pendiente,0,0.0,0.0,0.0,
SIN FF - CARGAR,,,Báscula (250 kg),,CC 403743,Seca,5876023153416,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos, TAP4,Celsius,,,,,,X,,,,,,,2024-06-04,-59,Torre A,Pendiente,0,0.0,0.0,0.0,162600
SIN FF - CARGAR,,,Báscula (250 kg),,CC 403745,Seca,5876256143298,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos, TAP4,Celsius,,,,,,X,,,,,,,2024-06-04,-59,Torre A,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CC 403744,Seca,5876115148522,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos, TAP3,Celsius,,,,,,X,,,,,,,2024-06-04,-59,Torre A,Pendiente,0,0.0,0.0,0.0,162600
CORREGIR,,,Báscula (250 kg),,CC 363726 // CC 423809,Seca,5876346127105,Calibración metrologica,,,,CAL,,Unidad de atención de la mujer,Torre H piso 1,Celsius,,,,,,,,X,,,,,2024-08-10,8,Torre I,Realizado,0,0.0,0.0,0.0,162600
"SIN FTT - (0,00) ",,,Báscula (250 kg),,CC 417419,Seca,5876023153490,Calibración metrologica,,,,CAL,7405.0,Consulta externa,Torre I Piso 5 C.508,Celsius,,,,,,,,X,,,,,2024-08-08,6,Torre I,Realizado,0,0.0,0.0,0.0,162600
Digital,,,Manómetro diferencial de presión ,,LP240084,Dwyer,TPD-03 / 0632QT,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Ingreso exclusa inactivación ,Celsius,,,X,,,,,,,,,,2024-03-01,-154,Torre H,Pendiente,0,0.0,0.0,0.0,405725
,,,Tallímetro,,011,Seca,TIP9,Calibración metrologica,,,,CAL,7409.0,Consulta externa,Torre I piso 9 pre consulta,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre I,Pendiente,0,0.0,0.0,0.0,62832
,,,AMBIENTE INMUNOLOGÍA ESPECIAL BOGOTÁ,,C-23170,nxsensor-lite1.0,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-21,-255,,Pendiente,0,0.0,0.0,0.0,
"SIN FTT - (-0,10)",,,Báscula (250 kg),,CC 416969,Seca,5876256143287,Calibración metrologica,,,,CAL,1700.0,Urología ,Urología,Celsius,,,,,,,,X,,,,,2024-08-02,0,Torre D,Realizado,0,0.0,0.0,0.0,162600
"(-0,10) ",,,Báscula (250 kg),,CC 417983,Seca,5876023153463,Calibración metrologica,,,,CAL,7406.0,Consulta externa,Torre I Piso 6 C. 607,Celsius,,,,,,,,X,,,,,2024-08-15,13,Torre I,Realizado,0,0.0,0.0,0.0,162600
,,,Tallímetro,,012,Seca,TFP4-1,Calibración metrologica,,,,CAL,5206.0,Chequeo Ejecutivo,Chequeo Ejecutivo,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre F,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,013,Seca,TFP4-2,Calibración metrologica,,,,CAL,5206.0,Chequeo Ejecutivo,Chequeo Ejecutivo,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre F,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,014,Hyssna,TFP2,Calibración metrologica,,,,CAL,900.0,Gastroenterología ,Gastroenterología,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre F,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,015,Seca,TFP3-2,Calibración metrologica,,,,CAL,1002.0,Unidad de trasplante,Unidad de transplante,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre F,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,016,Seca,5416197134091,Calibración metrologica,,,,CAL,1002.0,Unidad de trasplante,Unidad de transplante,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre F,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,017,Seca,TFP3-1,Calibración metrologica,,,,CAL,700.0,Hemato-oncología,Hemato-oncología,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre F,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,018,Seca,3PTD,Calibración metrologica,,,,CAL,1100.0,Hospitalización Suit Carlos Lleras,Hospitalización Suit Carlos Lleras,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre D,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,019,Seca,2PTD,Calibración metrologica,,,,CAL,1100.0,Hospitalización Torre D,TDP2,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre D,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,020,Seca,6PTB,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalizacion adultos TBP6,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre B,Pendiente,0,0.0,0.0,0.0,62832
,,,Tallímetro,,021,Seca,5PTB,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalizacion adultos TBP5,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre B,Pendiente,0,0.0,0.0,0.0,62832
 (50g),,,Masas,,MG5205−24,-,MF1-03,Calibración metrologica,,,,CAL,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,X,,,,,,,,2024-05-24,-70,Torre A,Pendiente,0,0.0,0.0,0.0,116160
"SIN FFT - (-0,10) ",,,Báscula (250 kg),,CC 417981,Seca,5876023153517,Calibración metrologica,,,,CAL,7000.0,Nutrición,Nutrición Torre E 4 piso,Celsius,,,,,,,,X,,,,,2024-08-15,13,Torre E,Realizado,0,0.0,0.0,0.0,162600
"SIN FFT - (-0,10) ",,,Báscula (250 kg),,CC 417980,Seca,5876256143303,Calibración metrologica,,,,CAL,7000.0,Nutrición,Nutrición Torre E 4 piso,Celsius,,,,,,,,X,,,,,2024-08-15,13,Torre E,Realizado,0,0.0,0.0,0.0,162600
"SN en certificado: 5876023145447 - (-0,10)",,,Báscula (250 kg),,CC 417985,Seca,5876023153447 / 5876023145447,Calibración metrologica,,,,CAL,7406.0,Consulta externa,Torre I Piso 6 C. 612,Celsius,,,,,,,,X,,,,,2024-08-15,13,Torre I,Realizado,0,0.0,0.0,0.0,162600
"SIN FTT - (-0,40)",,,Báscula (250 kg),,CC 417984,Seca,5878258143351,Calibración metrologica,,,,CAL,1100.0,Hospitalización Torre D,TDP2 ,Celsius,,,,,,,,X,,,,,2024-08-15,13,Torre D,Realizado,0,0.0,0.0,0.0,162600
0 kg,,,Báscula (250 kg),,CC 402350,Seca,5876063161943,Calibración metrologica,,,,CAL,7406.0,Consulta externa ,Torre I Piso 6 Preconsulta ,Celsius,,,,,X,,,,,,,,2024-05-10,-84,Torre I,Pendiente,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CC 418458,Seca,5876201150275,Calibración metrologica,,,,CAL,7000.0,Consulta externa,Torre E piso 5 - Investigaciones pediatría,Celsius,,,,,,,,X,,,,,2024-08-29,27,Torre E,Realizado,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CC 418457,Seca,5876201150278,Calibración metrologica,,,,CAL,7000.0,Consulta externa,Torre E piso 5 - Investigaciones pediatría,Celsius,,,,,,,,X,,,,,2024-08-29,27,Torre E,Realizado,0,0.0,0.0,0.0,162600
,,,Báscula (250 kg),,CC 418459,Seca,5876259151161,Calibración metrologica,,,,CAL,7000.0,Consulta externa,Torre E piso 5 - Investigaciones pediatría,Celsius,,,,,,,,X,,,,,2024-08-29,27,Torre E,Realizado,0,0.0,0.0,0.0,162600
"SIN FTT - (0,00) - SIN FF - CARGAR",,,Báscula (250 kg),,CC 416962,Seca,5876023153467,Calibración metrologica,,,,CAL,2500.0,Resonancia,Resonancia ,Celsius,,,,,,,,X,,,,,2024-08-02,0,Torre A,Realizado,0,0.0,0.0,0.0,162600
RECEPCIÓN OK ,,,Báscula (250 kg),,CC 419837,Seca,5876181162573,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos,TAP3,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre A,Realizado,0,0.0,0.0,0.0,162600
RECEPCIÓN OK ,,,Báscula (250 kg),,CC 419836,Seca,5876299144153,Calibración metrologica,,,,CAL,1400.0,Hemodinamia,Hemodinamia e intervencionismo,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre A,Realizado,0,0.0,0.0,0.0,162600
0 kg,,,Báscula (250 kg),,CC 402818,Seca,5876115148523,Calibración metrologica,,,,CAL,1100.0,Hospitalización Torre D,TDP2 ,Celsius,,,,,X,,,,,,,,2024-05-09,-85,Torre D,Pendiente,0,0.0,0.0,0.0,162600
"-0,1 kg",,,Báscula (250 kg),,CC 402817,Seca,5876023153465,Calibración metrologica,,,,CAL,1100.0,Hospitalización Torre D,TDP2 ,Celsius,,,,,X,,,,,,,,2024-05-09,-85,Torre D,Pendiente,0,0.0,0.0,0.0,162600
RECEPCIÓN OK ,,,Báscula (250 kg),,CC 419835,Seca,5876181162544,Calibración metrologica,,,,CAL,401.0,UCI Pediátrica,Uci Pediátrica TCP2,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre C,Realizado,0,0.0,0.0,0.0,162600
,,,AMBIENTE INMUNOQUÍMICA BOGOTÁ,,C-23171,nxsensor-lite1.0,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-21,-255,,Pendiente,0,0.0,0.0,0.0,
VENCIDO,,,AMBIENTE INVENTARIO IMPORTADOS BOGOTÁ,,DX-77010,nxsensor-1.3,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2022-12-03,-608,,Pendiente,0,0.0,0.0,0.0,
100 - 1000 µl Recepción ok ,,,Micropipeta,,CC 421217,Fisherbrand,KU00567,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,,,,,,,,,X,,,,2024-09-17,46,Torre H,Realizado,0,0.0,0.0,0.0,105818
Recepción ok,,,Pesa bebe (20 kg),,CC 419834,Seca,5334085119395,Calibración metrologica,,,,CAL,401.0,UCI Pediátrica,Uci Pediátrica TCP2,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre C,Realizado,0,0.0,0.0,0.0,80296
RECEPCIÓN OK,,,Tensiometro,,CC 419760,Welch Allyn,61023110745,Calibración metrologica,,,,CAL,2600.0,Rehabilitacion Fisica,Rehabilitacion Fisica,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre D,Realizado,0,0.0,0.0,0.0,60899
20 - 200 µl  Recepción ok ,,,Micropipeta,,CC 421216,Brand,10Ne1700,Calibración metrologica,,,,CAL,2301.0,Biología Molecular,Biología molecular,Celsius,,,,,,,,,X,,,,2024-09-17,46,Torre A,Realizado,0,0.0,0.0,0.0,105818
RECEPCIÓN OK,,,Tensiometro,,CC 419761,Tycos,29755357,Calibración metrologica,,,,CAL,2600.0,Rehabilitacion Fisica,Rehabilitacion Fisica,Celsius,,,,,,,,,X,,,,2024-09-04,33,Torre D,Realizado,0,0.0,0.0,0.0,60899
(50g),,,Masas,,MG8506-24,-,MF1-02,Calibración metrologica,,,,CAL,4301.0,Central de mezclas,Central de mezclas,Ainser,,,,,,X,,,,,,,2024-06-24,-39,Torre A,Pendiente,0,0.0,0.0,0.0,116160
,,,AMBIENTE INVESTIGACIONES,,DX-89957,nxsensor-1.3,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-28,-248,,Pendiente,0,0.0,0.0,0.0,
RECEPCIÓN OK ,,,Báscula (250 kg),,CC 381180,Seca,5876256143337,Calibración metrologica,,,,CAL,2000.0,Urgencias Adultos,Urgencias adultos Yesos,Celsius,X,,,,,,,,,,,,2024-01-04,-211,Torre A,Pendiente,0,0.0,0.0,0.0,162600
,,,AMBIENTE JHONSON & JHONSON BOGOTÁ,,C-23503,nxsensor-lite1.0,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-28,-248,,Pendiente,0,0.0,0.0,0.0,
,,,AMBIENTE LACTARIOS ALMACÉN BOGOTÁ,,C-23491,nxsensor-lite1.0,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-28,-248,,Pendiente,0,0.0,0.0,0.0,
,,,AMBIENTE LACTARIOS PRODUCCIÓN BOGOTÁ,,C-23502,nxsensor-1.3,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-28,-248,,Pendiente,0,0.0,0.0,0.0,
,,,AMBIENTE MANIFOLD,,C-23510,nxsensor-lite1.0,,Calibración metrologica,,,,CAL,,,,NETUX,,,,,,,,,,,,,2023-11-28,-248,,Pendiente,0,0.0,0.0,0.0,
5 - 50 µl RECEPCIÓN OK ,,,Micropipeta,,CC 381303,Boeco,JG512823,Calibración metrologica,,,,CAL,2300.0,Laboratorio Clínico,Microbiología,Celsius,X,,,,,,,,,,,,2024-01-09,-206,Torre A,Pendiente,0,0.0,0.0,0.0,105818
 (200 gr) ,,,Masas,,MG10903−24,-,MF1-04,Calibración metrologica,,,,CAL,4301.0,Central de mezclas,Central de mezclas,Ainser,,,X,,,,,,,,,,2024-03-11,-144,Torre A,Pendiente,0,0.0,0.0,0.0,116160
RECEPCIÓN OK ,,,Báscula (250 kg),,CC 380900,Seca,5876256143279,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos, TAP3,Celsius,X,,,,,,,,,,,,2024-01-24,-191,Torre A,Pendiente,0,0.0,0.0,0.0,162600
RECEPCIÓN OK ,,,Báscula (250 kg),,CC 380901,Seca,10000000357232,Calibración metrologica,,,,CAL,1100.0,Hospitalización Adultos, TAP4,Celsius,X,,,,,,,,,,,,2024-01-24,-191,Torre A,Pendiente,0,0.0,0.0,0.0,162600
"0,4 kg",,,Báscula (250 kg),,CC 397564,Seca,5876256143302,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.01,Celsius,,,,X,,,,,,,,,2024-04-10,-114,Torre I,Pendiente,0,0.0,0.0,0.0,162600
,,,Tallímetro,,022,Seca,4PTB,Calibración metrologica,,,,CAL,1101.0,UCI Coronaria,UCI Coronaria - TBP4,FCI,,,,,,,X,,,,,,2024-07-26,-7,Torre B,Pendiente,0,0.0,0.0,0.0,62832
"-0,1 kg",,,Báscula (250 kg),,CC 397567,Seca,5876256143310,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.03,Celsius,,,,X,,,,,,,,,2024-04-10,-114,Torre I,Pendiente,0,0.0,0.0,0.0,162600
"-0,1 kg",,,Báscula (250 kg),,CC 397566,Seca,5876023153445,Calibración metrologica,,,,CAL,7410.0,Consulta externa,Torre I piso 10 C.19,Celsius,,,,X,,,,,,,,,2024-04-10,-114,Torre I,Pendiente,0,0.0,0.0,0.0,162600
0kg ,,,Báscula (250 kg),,CC 397576,Seca,5876023153420,Calibración metrologica,,,,CAL,300.0,Consulta externa,Torre I piso 5 C.510,Celsius,,,,X,,,,,,,,,2024-04-10,-114,Torre I,Pendiente,0,0.0,0.0,0.0,162600
0 kg,,,Báscula (250 kg),,CC 397575,Seca,5876300144300,Calibración metrologica,,,,CAL,7407.0,Consulta externa,Torre I Piso 7 C.710,Celsius,,,,X,,,,,,,,,2024-04-10,-114,Torre I,Pendiente,0,0.0,0.0,0.0,162600
0kg,,,Báscula (250 kg),,CC 397574,Seca,5876023153462,Calibración metrologica,,,,CAL,7407.0,Consulta externa,Torre I piso 7 C.712,Celsius,,,,X,,,,,,,,,2024-04-10,-114,Torre I,Pendiente,0,0.0,0.0,0.0,162600
0kg,,,Báscula (250 kg),,CC 397572,Seca,5876256143321,Calibración metrologica,,,,CAL,7408.0,Consulta externa,Torre I piso 8 C.809,Celsius,,,,X,,,,,,,,,2024-04-10,-114,Torre I,Pendiente,0,0.0,0.0,0.0,162600
0kg,,,Báscula (250 kg),,CC 397957,Seca,5876256143324,Calibración metrologica,,,,CAL,900.0,Gastroenterología,Gastroenterología,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre F,Pendiente,0,0.0,0.0,0.0,162600
"-0,2 kg",,,Báscula (250 kg),,CC 397958,Seca,5876346127032,Calibración metrologica,,,,CAL,900.0,Gastroenterología,Gastroenterología,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre F,Pendiente,0,0.0,0.0,0.0,162600
0kg,,,Báscula (250 kg),,CC 397953,Seca,5876256143314,Calibración metrologica,,,,CAL,700.0,Hemato-oncología,Hemato-oncología C16,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre F,Pendiente,0,0.0,0.0,0.0,162600
"0,1 kg",,,Báscula (250 kg),,CC 397946,Seca,5876181162572,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera, Hospitalización adultos TBP5,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre B,Pendiente,0,0.0,0.0,0.0,162600
"-0,2 kg",,,Báscula (250 kg),,CC 397945,Seca,5876256143312,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP5,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre B,Pendiente,0,0.0,0.0,0.0,162600
"0,2 kg",,,Báscula (250 kg),,CC 397941,Seca,5876181162602,Calibración metrologica,,,,CAL,1101.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP6,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre B,Pendiente,0,0.0,0.0,0.0,162600
"-0,1 kg",,,Báscula (250 kg),,CC 397942,Seca,10000000705341,Calibración metrologica,,,,CAL,1100.0,Hospitalización Reinaldo Cabrera,Hospitalización adultos TBP6,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre D,Pendiente,0,0.0,0.0,0.0,162600
0 kg,,,Báscula (250 kg),,CC 397956,Seca,2110000000755140,Calibración metrologica,,,,CAL,3004.0,Neurofisiología,Neurofisiologia,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre F,Pendiente,0,0.0,0.0,0.0,162600
0kg,,,Báscula (250 kg),,CC 397948,Seca,5876023153439,Calibración metrologica,,,,CAL,1300.0,UCI Coronaria,UCI Coronaria,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre B,Pendiente,0,0.0,0.0,0.0,162600
0kg,,,Báscula (250 kg),,CC 397947,Seca,5876102177849,Calibración metrologica,,,,CAL,1300.0,UCI Coronaria,UCI Coronaria,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre B,Pendiente,0,0.0,0.0,0.0,162600
"-0,1 kg",,,Báscula (250 kg),,CC 397955,Seca,5876023153525,Calibración metrologica,,,,CAL,3800.0,Unidad de la Mujer,Unidad de la Mujer,Celsius,,,,X,,,,,,,,,2024-04-11,-113,Torre D,Pendiente,0,0.0,0.0,0.0,162600
0 kg,,,Báscula (250 kg),,CC 398476,Seca,5876256143282,Calibración metrologica,,,,CAL,200.0,Hospitalización niños,Torre C piso 2 Cuarto de equipos,Celsius,,,,X,,,,,,,,,2024-04-20,-104,Torre C,Pendiente,0,0.0,0.0,0.0,162600
